City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
Chernyshevskiy,RU,63.01,112.47,12.65,95,74,1.19,broken clouds
Nago,JP,26.59,127.98,78.8,61,40,25.28,scattered clouds
Oudtshoorn,ZA,-33.59,22.2,62.6,100,90,2.24,overcast clouds
Taseyevo,RU,57.22,94.9,29.7,96,100,14.07,overcast clouds
Corn Island,NI,12.17,-83.04,81.23,78,100,5.37,light rain
Grande Prairie,CA,55.17,-118.8,30.2,100,90,16.11,overcast clouds
Samaro,PK,25.28,69.4,77.25,54,0,12.24,clear sky
Khaga,IN,25.78,81.12,75.97,25,0,5.37,clear sky
Galesong,ID,-5.32,119.37,89.33,58,16,5.23,few clouds
Porto Novo,BJ,6.5,2.6,80.6,88,40,5.82,scattered clouds
Sambava,MG,-14.27,50.17,75.22,69,31,8.48,scattered clouds
Jardim,BR,-21.48,-56.14,68.09,50,61,1.45,broken clouds
Walvis Bay,NA,-22.96,14.51,57.99,93,0,8.05,clear sky
Omboue,GA,-1.57,9.26,74.61,92,100,1.97,overcast clouds
Mahibadhoo,MV,3.78,72.97,82.58,76,16,5.06,few clouds
Vila Velha,BR,-20.33,-40.29,75.99,88,75,2.24,light rain
Murindo,CO,6.98,-76.75,72.86,91,16,2.13,few clouds
Gizo,SB,-8.1,156.84,84.27,70,100,3.53,light rain
Fereydun Kenar,IR,36.69,52.52,64.18,87,39,2.95,scattered clouds
Kuryk,KZ,43.2,51.65,56.5,37,16,18.32,few clouds
Virginia Beach,US,36.85,-75.98,59.0,87,75,4.07,broken clouds
Boyolangu,ID,-8.12,111.89,86.9,66,66,6.51,broken clouds
Rietavas,LT,55.72,21.93,50.0,76,75,10.29,broken clouds
Filadelfia,US,39.95,-75.16,55.4,76,1,3.36,clear sky
Shar,KZ,49.59,81.05,36.93,66,100,11.27,overcast clouds
Boksitogorsk,RU,59.47,33.85,43.66,83,98,11.88,overcast clouds
Itarema,BR,-2.92,-39.92,78.98,81,82,12.12,broken clouds
Hirado,JP,33.36,129.55,66.0,48,0,5.82,clear sky
Sandviken,SE,60.62,16.77,37.99,80,79,5.01,broken clouds
Healdsburg,US,38.61,-122.87,61.0,82,1,4.7,clear sky
Churachandpur,IN,24.33,93.67,76.82,64,24,1.54,few clouds
Tessalit,ML,20.2,1.01,72.88,23,14,10.27,few clouds
Taoudenni,ML,22.68,-3.98,73.49,19,0,5.77,clear sky
Waynesville,US,35.49,-82.99,46.99,45,0,2.66,clear sky
Otjimbingwe,NA,-22.35,16.13,53.28,64,0,1.7,clear sky
Talnakh,RU,69.49,88.4,-4.0,83,0,2.24,clear sky
Sembe,CG,1.65,14.58,69.51,95,100,2.15,moderate rain
Kytmanovo,RU,53.46,85.45,31.41,96,100,23.73,overcast clouds
Ilebo,CD,-4.32,20.58,70.45,96,87,1.54,overcast clouds
Alice Springs,AU,-23.7,133.88,80.6,30,0,18.34,clear sky
Toccoa,US,34.58,-83.33,48.2,81,1,3.94,clear sky
Cap Malheureux,MU,-19.98,57.61,77.0,62,25,7.0,scattered clouds
Aksarka,RU,66.56,67.8,29.86,99,100,3.6,overcast clouds
Abalak,RU,58.13,68.59,32.63,96,98,7.47,overcast clouds
Uribia,CO,11.71,-72.27,80.02,77,88,11.7,overcast clouds
Souillac,MU,-20.52,57.52,71.6,88,75,3.36,shower rain
Bac Lieu,VN,9.29,105.72,84.6,68,100,6.15,overcast clouds
Zhangye,CN,38.93,100.45,45.07,47,2,16.53,clear sky
Tocopilla,CL,-22.09,-70.2,61.07,62,5,7.0,clear sky
Tanabe,JP,33.73,135.37,64.4,45,20,10.29,few clouds
Tungor,RU,53.38,142.96,27.45,95,100,22.79,light snow
Bosobolo,CD,4.18,19.9,70.18,94,87,0.94,overcast clouds
Waitati,NZ,-45.75,170.57,55.0,84,95,8.01,overcast clouds
Ploufragan,FR,48.49,-2.79,46.0,10,11,8.03,few clouds
Chilca,PE,-12.52,-76.74,62.6,82,75,13.87,broken clouds
Arman,RU,59.7,150.17,11.89,86,63,12.73,broken clouds
Serik,TR,36.92,31.1,64.0,42,0,20.8,clear sky
Lincoln,US,40.8,-96.67,61.0,59,46,1.99,scattered clouds
Santa Fe,AR,-31.63,-60.7,66.99,46,72,5.01,broken clouds
Vzmorye,RU,54.7,20.24,48.2,93,75,13.42,broken clouds
Sao Joao Da Barra,BR,-21.64,-41.05,70.02,88,45,6.06,scattered clouds
Bay Roberts,CA,47.6,-53.26,30.0,58,40,17.22,scattered clouds
Kuala Terengganu,MY,5.33,103.14,86.0,70,20,3.36,few clouds
Cluses,FR,46.06,6.58,48.2,81,90,9.17,overcast clouds
Whitehorse,CA,60.72,-135.05,1.4,70,90,14.99,light snow
Inverness,GB,57.48,-4.22,55.0,93,40,10.29,scattered clouds
Yar-Sale,RU,66.83,70.83,14.72,97,97,7.34,overcast clouds
Broome,US,42.25,-75.83,51.8,86,1,9.17,clear sky
Altay,CN,47.87,88.12,25.7,82,71,1.81,broken clouds
Salinopolis,BR,-0.61,-47.36,81.05,80,30,13.27,scattered clouds
Balkhash,KZ,46.84,74.98,23.0,67,0,11.18,clear sky
Port Hedland,AU,-20.32,118.57,107.6,9,0,13.87,clear sky
Ovre Ardal,NO,61.32,7.8,36.43,83,100,6.6,overcast clouds
Zheleznodorozhnyy,RU,55.75,38.0,44.6,100,90,6.71,moderate rain
Husavik,IS,66.04,-17.34,46.4,42,0,24.16,clear sky
Qobustan,AZ,40.08,49.41,57.2,100,75,4.7,fog
Khuzdar,PK,27.74,66.64,66.43,21,0,3.4,clear sky
Baykalsk,RU,51.51,104.15,31.42,87,4,1.07,clear sky
Bukoba,TZ,-1.33,31.81,70.14,73,81,3.8,light rain
Ulaangom,MN,49.98,92.07,30.38,77,98,7.74,overcast clouds
Quibdo,CO,5.69,-76.66,73.74,95,88,0.04,overcast clouds
Nishihara,JP,26.18,127.76,78.8,50,90,21.92,overcast clouds
Skuodas,LT,56.27,21.53,50.0,71,43,18.34,scattered clouds
Vardo,NO,70.37,31.11,37.98,85,25,27.85,scattered clouds
North Bend,US,43.41,-124.22,62.01,87,1,11.41,clear sky
Akyab,MM,20.15,92.9,82.83,75,2,4.9,clear sky
Sangar,RU,63.92,127.47,1.47,92,100,6.69,overcast clouds
Nioro,GM,13.35,-15.75,75.56,84,2,5.03,clear sky
Talcahuano,CL,-36.72,-73.12,53.6,76,0,11.41,clear sky
Wahpeton,US,46.27,-96.61,53.01,62,1,6.93,clear sky
Matucana,PE,-11.85,-76.4,60.58,37,11,0.38,few clouds
Ahuimanu,US,21.44,-157.84,82.4,78,75,6.93,broken clouds
Harindanga,IN,22.04,88.32,77.0,61,0,3.36,haze
Opuwo,NA,-18.06,13.84,59.49,34,0,1.72,clear sky
Bandarbeyla,SO,9.49,50.81,75.0,66,10,12.41,clear sky
Longyearbyen,SJ,78.22,15.64,35.6,69,75,24.16,broken clouds
Huarmey,PE,-10.07,-78.15,62.8,84,50,9.04,scattered clouds
Pauini,BR,-7.71,-66.98,75.0,92,100,1.81,light rain
Ternovskaya,RU,45.85,40.41,46.96,63,66,7.81,broken clouds
Wasilla,US,61.58,-149.44,12.0,71,1,3.36,clear sky
Milos,GR,36.75,24.43,62.6,59,0,14.99,clear sky
Staryy Nadym,RU,65.61,72.68,16.18,97,100,6.22,overcast clouds
Potosi,BO,-19.58,-65.75,45.09,57,86,4.07,overcast clouds
Portland,US,45.52,-122.68,64.0,82,22,1.99,few clouds
Pendleton,US,45.67,-118.79,60.01,58,1,5.82,clear sky
Tomari,RU,47.77,142.07,38.05,73,0,23.26,clear sky
Maningrida,AU,-12.07,134.27,91.78,46,28,13.94,scattered clouds
Belyy Yar,RU,53.6,91.39,35.6,51,0,24.61,clear sky
Puerto Lopez,CO,4.08,-72.96,75.36,91,100,3.58,overcast clouds
Aksu,CN,41.12,80.26,50.63,38,13,5.19,few clouds
High Level,CA,58.52,-117.14,15.8,92,75,11.41,broken clouds
Qingquan,CN,30.45,115.26,62.01,56,84,4.21,broken clouds
Alghero,IT,40.56,8.32,53.6,93,0,3.36,clear sky
Kemijarvi,FI,66.71,27.43,37.49,85,100,14.12,overcast clouds
Vao,NC,-22.67,167.48,73.38,81,2,6.58,clear sky
Bahia Blanca,AR,-38.72,-62.27,64.72,67,100,8.19,overcast clouds
Tutoia,BR,-2.76,-42.27,80.13,79,89,12.44,light rain
Slave Lake,CA,55.28,-114.77,26.6,86,90,19.46,light snow
Umea,SE,63.83,20.26,39.2,93,90,10.29,moderate rain
Beloha,MG,-25.17,45.05,72.64,70,72,3.29,broken clouds
Svetlyy,RU,54.67,20.13,48.2,93,75,13.42,broken clouds
Novotroitsk,RU,51.2,58.33,46.4,52,0,11.18,clear sky
Terney,RU,45.05,136.61,45.84,49,0,10.18,clear sky
Najran,SA,17.49,44.13,55.4,32,0,4.7,clear sky
Bacabal,BR,-4.29,-44.79,75.36,91,63,2.86,broken clouds
Kosh-Agach,RU,50.0,88.67,11.41,88,100,1.14,overcast clouds
Aras,ES,42.56,-2.36,48.2,87,90,1.12,overcast clouds
Kozelsk,RU,54.04,35.77,44.6,87,90,6.71,moderate rain
Lompoc,US,34.64,-120.46,62.01,82,1,3.36,clear sky
Carbonear,CA,47.73,-53.21,30.0,58,40,17.22,scattered clouds
Necochea,AR,-38.55,-58.74,60.01,73,100,10.0,overcast clouds
Norman Wells,CA,65.28,-126.83,-16.6,75,75,3.36,broken clouds
Artyom,AZ,40.47,50.33,57.2,100,75,4.7,fog
Masindi,UG,1.67,31.71,64.42,91,0,1.28,clear sky
Nyurba,RU,63.28,118.33,8.58,92,97,2.28,overcast clouds
Trincomalee,LK,8.57,81.23,83.19,73,0,7.16,clear sky
Tura,IN,25.52,90.22,75.6,40,0,2.3,clear sky
Berlevag,NO,70.86,29.09,35.44,85,25,26.55,scattered clouds
Raudeberg,NO,61.99,5.14,51.8,93,100,17.22,overcast clouds
Ilam,NP,26.92,87.92,66.51,52,0,3.44,clear sky
Labuhan,ID,-6.88,112.21,88.75,58,63,4.36,broken clouds
Mantua,IT,45.17,10.78,57.0,94,28,1.99,scattered clouds
Koygorodok,RU,60.45,51.0,35.58,94,100,8.75,overcast clouds
Palmares Do Sul,BR,-30.26,-50.51,56.44,75,2,3.94,clear sky
Banamba,ML,13.55,-7.45,73.33,33,0,3.96,clear sky
Sabang,ID,5.89,95.32,81.77,74,65,6.04,broken clouds
Great Yarmouth,GB,52.61,1.73,37.99,97,6,7.49,clear sky
Takoradi,GH,4.88,-1.76,78.51,85,53,3.18,broken clouds
Kyra,RU,49.58,111.98,28.58,95,100,2.44,overcast clouds
Caramay,PH,10.18,119.24,83.86,76,100,4.83,moderate rain
Terre-De-Bas,GP,15.85,-61.64,77.0,83,0,4.7,clear sky
Pervomayskiy,RU,53.25,40.29,44.01,82,14,6.06,few clouds
Concarneau,FR,47.88,-3.92,41.0,86,0,9.17,clear sky
Luanda,AO,-8.84,13.23,77.0,88,75,6.93,broken clouds
Nuuk,GL,64.18,-51.72,24.8,100,96,4.7,light snow
Malindi,KE,-3.22,40.12,78.15,78,54,4.72,broken clouds
Dakar,SN,14.69,-17.44,78.8,94,20,12.48,few clouds
Kadnikov,RU,59.5,40.34,43.12,81,100,10.56,overcast clouds
Korla,CN,41.76,86.15,48.63,43,0,10.87,clear sky
Mitsamiouli,KM,-11.38,43.28,78.3,77,32,12.15,scattered clouds
Santa Rosa,PH,14.31,121.11,89.01,66,75,3.36,broken clouds
Susangerd,IR,31.56,48.18,55.4,66,0,5.01,smoke
Karaton,ID,-6.34,106.1,82.99,78,75,5.82,moderate rain
Ketchikan,US,55.34,-131.65,46.4,93,90,11.41,overcast clouds
Puerto Baquerizo Moreno,EC,-0.9,-89.6,67.96,81,98,11.83,overcast clouds
Roma,US,43.21,-75.46,46.99,61,1,4.7,clear sky
Mana,GF,5.66,-53.78,78.89,86,98,8.34,overcast clouds
Boddam,GB,57.47,-1.78,55.4,76,57,8.05,broken clouds
Cortez,US,37.35,-108.59,51.01,52,1,6.93,clear sky
Praya,CV,14.92,-23.51,73.4,83,40,6.93,scattered clouds
Bremervorde,DE,53.48,9.13,41.0,93,11,8.37,few clouds
Henties Bay,NA,-22.12,14.28,57.99,94,42,2.26,scattered clouds
Igbo Ora,NG,7.43,3.28,75.92,91,100,1.95,overcast clouds
Katherine,AU,-14.47,132.27,98.6,30,100,8.05,overcast clouds
Puerto Escondido,MX,15.85,-97.07,75.2,78,5,5.82,clear sky
Abay,KZ,49.63,72.85,21.2,79,0,2.24,clear sky
Srednekolymsk,RU,67.45,153.68,7.2,94,100,20.36,light snow
Diapaga,BF,12.07,1.79,79.56,29,60,7.14,broken clouds
Barra Patuca,HN,15.8,-84.28,76.87,87,100,7.29,overcast clouds
Dicabisagan,PH,17.08,122.42,82.29,67,89,10.4,overcast clouds
Arequipa,PE,-16.4,-71.53,56.28,46,97,0.78,overcast clouds
Ampanihy,MG,-24.7,44.75,72.7,68,63,3.67,broken clouds
Russell,US,32.35,-85.2,55.4,93,1,5.1,mist
Kodinsk,RU,58.69,99.18,29.07,96,100,10.78,overcast clouds
Yarmouth,US,41.71,-70.23,55.4,82,1,10.29,clear sky
Chalmette,US,29.94,-89.96,64.99,72,1,6.93,clear sky
Prince Rupert,CA,54.32,-130.32,50.0,76,90,19.46,light rain
Santa Clara,CU,22.4,-79.97,73.4,100,75,8.05,broken clouds
Ahipara,NZ,-35.17,173.17,66.04,82,72,13.31,broken clouds
Veshenskaya,RU,49.63,41.73,41.54,86,79,7.85,broken clouds
Shubarkuduk,KZ,49.14,56.49,45.45,58,83,8.34,broken clouds
Sao Miguel Do Araguaia,BR,-13.28,-50.16,74.55,76,91,4.23,overcast clouds
Shikhany,RU,52.12,47.22,35.82,84,52,2.42,broken clouds
Matara,LK,5.95,80.54,87.48,62,6,0.51,clear sky
Kysyl-Syr,RU,63.9,122.76,3.06,91,90,5.79,overcast clouds
Sur,OM,22.57,59.53,77.22,34,0,5.99,clear sky
Xai-Xai,MZ,-25.05,33.64,74.3,75,99,6.62,overcast clouds
Guatire,VE,10.48,-66.54,71.01,90,100,1.77,overcast clouds
Inuvik,CA,68.35,-133.72,5.0,84,64,3.36,broken clouds
Kudahuvadhoo,MV,2.67,72.89,82.29,73,22,1.21,few clouds
Barajevo,RS,44.58,20.42,53.6,93,75,0.31,broken clouds
Linfen,CN,36.09,111.52,60.53,38,100,3.62,light rain
Omsukchan,RU,62.53,155.8,-10.35,85,97,6.55,overcast clouds
San Lawrenz,MT,36.06,14.2,64.0,93,0,2.24,clear sky
Taksimo,RU,56.34,114.88,18.97,91,99,1.5,overcast clouds
Coihaique,CL,-45.58,-72.07,44.6,65,75,2.24,broken clouds
Kirkenaer,NO,60.46,12.06,43.0,63,100,4.0,overcast clouds
San Carlos De Bariloche,AR,-41.15,-71.31,41.0,80,40,21.92,shower rain
Pemangkat,ID,1.17,108.97,80.13,80,100,3.87,light rain
Quang Ngai,VN,15.12,108.8,73.4,88,100,11.54,heavy intensity rain
Kenora,CA,49.82,-94.43,50.0,79,40,8.05,scattered clouds
Tahta,EG,26.77,31.5,62.6,51,0,6.93,clear sky
Picsi,PE,-6.72,-79.77,61.27,86,0,7.29,clear sky
Verkhnyaya Inta,RU,65.98,60.31,33.87,96,90,10.94,overcast clouds
Natal,BR,-5.79,-35.21,78.8,83,40,9.17,scattered clouds
Bendigo,AU,-36.77,144.28,60.01,46,2,12.06,clear sky
Northam,GB,51.03,-4.22,39.99,96,66,3.74,broken clouds
Sapa,PH,5.15,120.32,84.76,71,33,6.46,scattered clouds
Anloga,GH,5.79,0.9,80.6,88,40,4.7,scattered clouds
Moose Factory,CA,51.26,-80.61,33.8,96,90,4.7,mist
Mokhsogollokh,RU,61.47,128.92,12.02,93,99,8.59,overcast clouds
Samarinda,ID,-0.5,117.15,96.75,44,39,1.72,scattered clouds
El Astillero,ES,43.4,-3.82,53.6,71,90,5.82,overcast clouds
Manono,CD,-7.3,27.42,70.2,86,100,1.63,overcast clouds
Namatanai,PG,-3.67,152.43,83.46,71,99,12.26,moderate rain
Bafq,IR,31.61,55.41,63.46,25,0,2.93,clear sky
Panzhihua,CN,26.59,101.71,76.15,55,47,1.43,scattered clouds
Dhidhdhoo,MV,6.88,73.1,81.99,66,0,1.01,clear sky
Sao Filipe,CV,14.9,-24.5,76.5,81,100,5.84,overcast clouds
Yumen,CN,40.28,97.2,41.09,56,30,28.43,scattered clouds
Zhanaozen,KZ,43.3,52.8,50.9,45,78,16.13,broken clouds
Khor,RU,47.89,134.95,35.82,68,16,17.13,few clouds
Fernie,CA,49.5,-115.07,55.4,87,100,10.29,overcast clouds
Konstantinovskaya,RU,44.05,43.16,33.8,69,48,6.71,scattered clouds
Awjilah,LY,29.11,21.29,59.16,79,51,6.44,broken clouds
Uglegorsk,RU,49.08,142.03,35.6,74,0,15.82,clear sky
Nelson Bay,AU,-32.72,152.15,64.0,93,75,12.75,light rain
Kapit,MY,2.02,112.93,76.59,90,99,0.31,overcast clouds
Pangody,RU,65.85,74.49,5.76,94,100,6.82,overcast clouds
Sao Gabriel,BR,-30.34,-54.32,51.53,82,0,9.26,clear sky
Izumo,JP,35.37,132.77,60.8,48,75,3.36,broken clouds
Babu,CN,24.42,111.52,78.24,53,0,1.92,clear sky
Hermiston,US,45.84,-119.29,62.01,71,1,5.82,clear sky
Miles City,US,46.41,-105.84,51.8,50,1,8.05,clear sky
Viedma,AR,-40.81,-63.0,62.65,79,100,10.07,light rain
Argentan,FR,48.75,-0.02,37.4,93,0,2.24,clear sky
Conceicao Do Araguaia,BR,-8.26,-49.26,75.25,90,95,2.46,overcast clouds
Ferkessedougou,CI,9.6,-5.2,74.7,64,17,1.92,few clouds
Beringovskiy,RU,63.05,179.32,37.69,96,100,27.22,moderate rain
Havelock,US,34.88,-76.9,59.0,92,1,3.53,clear sky
Ust-Nera,RU,64.57,143.2,-1.23,84,99,7.18,overcast clouds
Morondava,MG,-20.28,44.28,78.31,68,0,5.73,clear sky
Sept-Iles,CA,50.2,-66.38,26.6,68,54,2.24,broken clouds
Rio Grande,BR,-32.03,-52.1,57.99,81,0,15.99,clear sky
Severnyy-Kospashskiy,RU,59.09,57.8,33.01,100,100,5.01,overcast clouds
Klyuchi,RU,52.27,79.17,36.27,77,90,19.06,overcast clouds
Papara,BR,-3.98,-38.73,80.6,78,40,10.29,scattered clouds
Waddan,LY,29.16,16.14,57.85,58,0,5.53,clear sky
Kieta,PG,-6.22,155.63,86.68,56,67,6.62,broken clouds
Gandorhun,SL,7.5,-11.83,73.67,98,0,2.71,light rain
Ust-Tsilma,RU,65.44,52.15,34.63,93,100,6.35,overcast clouds
Dzilam Gonzalez,MX,21.28,-88.93,74.93,90,99,10.04,light rain
Halifax,CA,44.65,-63.57,37.4,55,75,3.36,broken clouds
Ambilobe,MG,-13.2,49.05,78.51,49,89,3.11,overcast clouds
Diamantino,BR,-14.41,-56.45,73.85,40,70,3.53,broken clouds
Alekseyevsk,RU,57.84,108.35,25.75,95,100,12.08,light snow
Isiro,CD,2.77,27.62,65.8,98,19,1.77,few clouds
Amot,NO,59.57,7.99,42.01,84,100,3.0,overcast clouds
Sinnamary,GF,5.38,-52.95,79.03,86,99,7.61,light rain
Canavieiras,BR,-15.68,-38.95,71.49,94,99,4.38,overcast clouds
Diffa,NE,13.32,12.61,75.58,31,0,10.71,clear sky
Santa Isabel Do Rio Negro,BR,-0.41,-65.02,73.89,97,84,2.35,moderate rain
Palafrugell,ES,41.92,3.16,55.0,56,14,15.64,few clouds
Inongo,CD,-1.95,18.27,70.36,95,100,3.74,overcast clouds
Bilma,NE,18.69,12.92,68.58,24,0,7.29,clear sky
Wanning,CN,18.8,110.4,78.06,81,100,16.4,overcast clouds
Bud,US,39.45,-86.18,57.99,62,1,3.36,clear sky
Amapa,BR,1.0,-52.0,72.93,96,100,2.59,overcast clouds
Ambatondrazaka,MG,-17.83,48.42,66.72,69,62,0.87,broken clouds
Hammerfest,NO,70.66,23.68,39.2,69,40,23.04,scattered clouds
Puerto Cabezas,NI,14.04,-83.39,77.47,87,100,8.63,overcast clouds
Shirokiy,RU,49.76,129.52,28.31,88,64,8.43,broken clouds
Ugoofaaru,MV,5.67,73.0,82.02,68,9,4.05,clear sky
Vestmannaeyjar,IS,63.44,-20.27,44.46,91,100,13.47,heavy intensity rain
Ilovlya,RU,49.3,43.98,33.8,70,0,8.95,clear sky
Noumea,NC,-22.28,166.46,82.4,65,90,9.17,overcast clouds
Okahandja,NA,-21.98,16.92,55.4,37,0,4.7,clear sky
Mehriz,IR,31.59,54.43,51.8,23,20,4.7,few clouds
The Valley,AI,18.22,-63.06,81.0,74,20,11.41,few clouds
Zlitan,LY,32.47,14.57,65.88,66,27,7.58,scattered clouds
Magadan,RU,59.57,150.8,13.68,86,100,10.47,overcast clouds
Mackenzie,CA,55.3,-123.17,37.4,100,90,2.24,mist
Aksarayskiy,RU,46.79,48.01,48.2,76,0,6.71,clear sky
Zavetnoye,RU,47.12,43.89,46.24,59,71,7.61,broken clouds
Awbari,LY,26.59,12.78,60.08,42,89,5.64,overcast clouds
Havre-Saint-Pierre,CA,50.23,-63.6,17.6,92,40,5.82,scattered clouds
Sioux Lookout,CA,50.1,-91.92,48.2,57,20,6.93,few clouds
Pastos Bons,BR,-6.6,-44.08,69.37,97,25,1.61,scattered clouds
Oktyabrskiy,RU,54.48,53.47,36.1,83,81,2.01,broken clouds
Varzelandia,BR,-15.7,-44.03,66.34,94,99,1.7,overcast clouds
Sumbe,AO,-11.21,13.84,76.21,82,96,2.75,light rain
Tiarei,PF,-17.53,-149.33,82.4,74,40,3.36,scattered clouds
Hlubocky,CZ,49.62,17.39,41.0,99,32,6.06,scattered clouds
Mindelo,CV,16.89,-24.98,77.0,73,75,8.05,broken clouds
Along,IN,28.17,94.77,70.72,80,47,1.59,scattered clouds
Tazovskiy,RU,67.47,78.7,-2.85,92,67,6.89,broken clouds
Bousso,TD,10.48,16.71,77.83,24,0,7.83,clear sky
Noyabrsk,RU,63.2,75.45,24.37,98,100,9.06,light snow
Almaznyy,RU,48.04,40.05,44.6,87,0,11.18,clear sky
Sumter,US,28.71,-82.08,66.0,89,0,6.87,clear sky
Rusape,ZW,-18.53,32.13,63.88,87,100,4.03,overcast clouds
Zharkent,KZ,44.16,80.0,49.64,44,30,6.73,scattered clouds
Nantucket,US,41.28,-70.1,55.4,87,1,9.17,clear sky
Chiang Klang,TH,19.29,100.86,80.6,69,0,3.36,clear sky
Ljubinje,BA,42.95,18.09,59.0,100,75,2.24,fog
Dong Xoai,VN,11.53,106.92,86.5,59,60,5.26,broken clouds
San Andres,CO,12.58,-81.7,75.2,100,90,5.82,thunderstorm with light rain
Port Hawkesbury,CA,45.62,-61.35,27.0,92,1,5.59,clear sky
Fort Wellington,GY,6.4,-57.6,79.86,86,90,9.86,overcast clouds
Norman,US,35.22,-97.44,62.6,51,1,10.29,clear sky
Srandakan,ID,-7.94,110.25,84.65,71,100,7.94,overcast clouds
San Jeronimo,PE,-11.95,-75.28,51.85,64,35,1.97,scattered clouds
Leh,IN,34.17,77.58,31.5,65,72,2.51,broken clouds
Xam Nua,LA,20.42,104.04,73.74,61,99,3.06,overcast clouds
Florianopolis,BR,-27.61,-48.5,60.8,63,0,3.36,clear sky
Banda Aceh,ID,5.56,95.32,84.92,67,33,5.5,scattered clouds
Dondaicha,IN,21.33,74.57,82.2,25,0,5.17,clear sky
Batagay-Alyta,RU,67.8,130.41,-5.39,89,76,1.9,broken clouds
Bandipur,NP,27.93,84.42,67.95,53,0,0.94,clear sky
Garden City,US,42.33,-83.33,62.6,54,40,11.41,scattered clouds
Usinsk,RU,65.99,57.53,34.92,96,94,9.84,overcast clouds
Caloundra,AU,-26.8,153.13,88.0,67,5,11.01,clear sky
Roald,NO,62.58,6.13,50.0,93,100,28.86,overcast clouds
Turtas,RU,58.94,69.13,34.5,91,96,9.37,overcast clouds
Machhiwara,IN,30.91,76.2,74.52,20,0,3.8,clear sky
Sandwick,GB,60.0,-1.25,51.8,100,100,23.04,moderate rain
Faya,SA,18.39,42.45,57.2,82,20,2.59,few clouds
Kalanguy,RU,51.02,116.52,25.07,88,59,5.23,broken clouds
Inirida,CO,3.87,-67.92,71.67,98,99,2.17,overcast clouds
